MatOldNew	PairNum	Deck1Feedback	Deck2Feedback	Pay1Back	Pay1BackTrial	Mat1Back	DelayDecks	SwitchDecks	Switch1Back	Sub	Trial	Pay	RT	Resp	ChosenSide	choice	Stay
1	1	0.8	0.2	0.2	0.8	1	1	1	1	1	201	0.8	539.871068671346	k	2	0	1
1	2	0.6	0.8	0.8	0.2	1	1	1	1	1	202	0.8	605.888022109866	j	1	1	1
1	2	0.8	0.4	0.8	0.8	0	0	0	1	1	203	0.4	749.984150752425	k	2	1	1
1	1	0.4	0.4	0.8	0.8	1	2	1	1	1	204	0.4	454.455137252808	k	2	0	1
0	2	0.2	0.4	0.4	0.8	0	1	1	0	1	205	0.4	368.018958717585	k	2	1	1
0	1	0.2	0	0.4	0.4	1	1	1	1	1	206	0.2	467.750228941441	j	1	0	1
1	2	0	0.8	0.4	0.4	1	1	1	1	1	207	0	354.7408208251	j	1	0	0
0	1	0.6	0.6	0.2	0.4	0	1	1	1	1	208	0.6	751.123834401369	k	2	1	0
1	1	0.6	0.4	0.6	0	0	0	0	1	1	209	0.4	549.873450770974	j	1	1	1
0	2	0.2	0.6	0	0.2	1	2	1	1	1	210	0.2	737.456833943725	k	2	0	1
1	2	0.4	0.6	0.2	0.4	1	0	0	1	1	211	0.6	730.459023267031	k	2	1	0
1	1	0.8	0.2	0.4	0.6	1	2	1	0	1	212	0.2	426.777305081487	j	1	1	1
1	2	0.2	0.8	0.6	0.2	1	1	1	0	1	213	0.2	779.901448637247	k	2	0	0
1	2	0	0.4	0.2	0.2	0	0	0	1	1	214	0.4	422.883974388242	j	1	1	0
1	1	0.6	0.2	0.2	0.6	1	2	1	1	1	215	0.6	495.727676898241	j	1	0	0
1	1	0.4	0	0.6	0.4	1	0	0	1	1	216	0.4	496.732383966446	j	1	0	1
0	1	0.6	0.8	0.4	0.6	1	0	0	0	1	217	0.6	394.592773169279	j	1	0	1
1	1	0.8	0.6	0.6	0.4	0	0	0	0	1	218	0.8	450.79493150115	k	2	0	1
1	2	0.2	0.4	0.4	0.2	1	4	1	0	1	219	0.4	748.164063319564	j	1	1	1
1	2	0.2	0.2	0.4	0.8	0	0	0	1	1	220	0.2	571.966866031289	j	1	1	1
0	1	0.6	1	0.8	0.6	1	2	1	0	1	221	0.6	430.996363982558	j	1	0	1
0	2	0	0.4	0.2	0.4	1	1	1	0	1	222	0	928.555704653263	j	1	0	0
0	2	0	0.6	0	0.6	0	0	0	1	1	223	0.6	385.112062096596	k	2	1	0
1	1	0	0.6	0.6	0.2	0	2	1	1	1	224	0.6	489.28957991302	k	2	1	0
1	2	0.2	0.2	0.6	0	0	1	1	0	1	225	0.2	564.015712589025	j	1	1	1
0	1	0.2	0.2	0.6	0.6	1	1	1	1	1	226	0.2	645.07713727653	j	1	1	1
1	2	0.2	0	0.2	0.6	1	1	1	1	1	227	0.2	784.017080441117	k	2	0	0
1	2	0.4	0.2	0.2	0.2	1	0	0	1	1	228	0.2	583.40921998024	j	1	1	0
1	2	0.8	0.2	0.2	0.2	1	0	0	0	1	229	0.8	834.462014958262	j	1	0	0
0	2	-0	0	0.8	0.2	0	0	0	0	1	230	-0	387.663703411818	j	1	0	1
0	1	0.4	0.6	0.2	0.2	0	4	1	1	1	231	0.4	827.482108026743	j	1	0	0
