MatOldNew	PairNum	Deck1Feedback	Deck2Feedback	Pay1Back	Pay1BackTrial	Mat1Back	DelayDecks	SwitchDecks	Switch1Back	Sub	Trial	RT	Resp	ChosenSide	choice	Stay
1	2	0.8	0.8	0.4	0.2	0	0	0	1	7	168	990.399999020156	k	2	0	1
0	1	0.2	0.2	0.2	0.6	0	2	1	1	7	169	475.098864000756	j	1	0	1
0	2	0.4	0.6	0.8	0.4	0	1	1	0	7	170	598.126387980301	j	1	0	1
1	2	-0	0.6	0.4	0.2	0	0	0	1	7	171	645.807307009818	k	2	0	1
0	1	0	1	0.2	0.8	0	2	1	1	7	172	737.557298998581	j	1	0	1
0	2	0	0.4	-0	0.4	0	1	1	0	7	173	798.387155984528	k	2	1	0
0	2	0.8	0.2	0.4	0	1	0	0	1	7	174	756.709175999276	k	2	1	1
1	1	0.2	0.4	0	-0	0	2	1	1	7	175	487.411556998268	k	2	1	0
0	2	0.8	0.4	0.2	0.4	1	1	1	0	7	176	502.434611989884	j	1	1	1
1	1	0	0.4	0.4	0.2	1	1	1	1	7	177	651.187417999608	j	1	1	1
0	2	0.6	1	0.4	0.4	0	1	1	1	7	178	648.919428000227	k	2	1	1
0	1	1	0.2	0.4	0.4	1	1	1	1	7	179	663.204256998142	k	2	0	NaN
0	1	0.2	0.4	1	1	0	0	0	1	7	180	NaN	NaN	NaN	NaN	0
1	2	0.2	0.6	1	0.4	0	2	1	1	7	181	940.610236983048	j	1	1	1
0	2	-0	0.6	0.6	NaN	0	0	0	1	7	182	675.895500986371	j	1	1	1
0	1	0.8	1	NaN	1	0	2	1	0	7	183	575.647830002708	k	2	0	0
0	2	0.4	0.8	0.6	0.6	1	1	1	0	7	184	771.623248001561	j	1	1	1
0	2	0.4	0.6	0.8	0.8	1	0	0	1	7	185	761.625207000179	k	2	1	1
1	1	0.8	0.6	0.8	0.6	0	2	1	1	7	186	600.224719994003	j	1	1	0
1	1	0	0.2	0.6	0.6	1	0	0	1	7	187	644.528549979441	j	1	0	0
1	1	0.6	0.6	0	0.6	1	0	0	0	7	188	560.543436993612	j	1	1	0
0	1	0.4	-0	0.6	0	1	0	0	0	7	189	469.501821004087	k	2	1	1
0	1	0.6	0.6	-0	0.6	0	0	0	0	7	190	363.821942009963	j	1	0	0
1	2	-0	0.4	0.6	0.8	1	5	1	0	7	191	552.903765987139	j	1	0	0
1	1	0.4	-0	0.6	-0	0	1	1	0	7	192	555.77084000106	j	1	0	1
1	2	0.2	0.8	-0	0.6	0	1	1	1	7	193	483.509757003048	k	2	1	0
1	1	0.8	0.4	0.4	-0	1	1	1	1	7	194	606.731878011487	j	1	1	0
0	1	0.4	0.8	0.4	0.8	1	0	0	1	7	195	484.281440993072	k	2	1	1
1	2	0.4	0.8	0.8	0.4	0	2	1	1	7	196	513.00187598099	j	1	1	1
1	1	0.8	0.4	0.8	0.4	0	1	1	0	7	197	504.13478698465	k	2	1	1
1	2	0.4	1	0.8	0.8	1	1	1	1	7	198	866.429546003928	k	2	1	1
0	1	0.8	0.4	0.4	0.8	1	1	1	1	7	199	553.485596028622	j	1	1	1
0	1	1	0.6	0.4	1	0	0	0	1	7	200	612.688875989988	j	1	1	1
1	1	0	0.8	0.6	0.4	0	0	0	0	7	201	626.773719995981	j	1	1	1
0	2	0.6	1	1	0.4	1	3	1	1	7	202	407.85534598399	j	1	1	1
0	2	0.6	1	1	0.8	0	0	0	1	7	203	550.25522899814	j	1	1	1
1	2	-0	-0	1	1	1	0	0	0	7	204	514.269435021561	k	2	1	1
1	1	1	0.6	0.8	0.6	1	3	1	0	7	205	513.113745982992	k	2	1	1
1	2	0.2	0.6	-0	1	0	1	1	0	7	206	578.437779011438	k	2	1	1
1	1	0.2	0.6	0.6	-0	1	1	1	1	7	207	545.233749988256	k	2	1	1
